key,en,hi,ta,te,bn,gu,mr,pa,ur,kn,ml,or
potato,Potato,आलू,உருளைக்கிழங்கு,బంగాళదుంప,আলু,બટાકા,बटाटा,ਆਲੂ,آلو,ಆಲೂಗಡ್ಡೆ,ഉരുളക്കിഴങ്ങ്,ଆଳୁ |
ragi,Ragi,रागी,ராகி,రాగి,রাগী,રાગી,रागी,ਰਾਗੀ,راگی,ರಾಗಿ,രാഗി,ରାଗି |
soyabean,Soyabean,सोया बीन,சோயாபீன்,సోయాబీన్,সয়াবিন,સોયાબીન,सोयाबीन,ਸੋਇਆਬੀਨ,سویابین,ಸೋಯಾಬೀನ್,സോയാബീൻ,ସୋୟାବିନ୍ |
sunflowerSeed,Sunflower Seed,सूरजमुखी के बीज,சூரியகாந்தி விதை,సన్‌ఫ్లవర్ సీడ్,সূর্যমুখী বীজ,સૂર્યમુખી બીજ,सूर्यफूल बियाणे,ਸੂਰਜਮੁਖੀ ਦੇ ਬੀਜ,سورج مکھی کا بیج,ಸೂರ್ಯಕಾಂತಿ ಬೀಜ,സൂര്യകാന്തി വിത്ത്,ସୂର୍ଯ୍ୟମୁଖୀ ବିହନ |
tea,Tea,चाय,தேநீர்,టీ,চা,ચા,चहा,ਚਾਹ,چائے,ಚಹಾ,ചായ,ଚା
tomato,Tomato,टमाटर,தக்காளி,టొమాటో,টমেটো,ટામેટા,टोमॅटो,ਟਮਾਟਰ,ٹماٹر,ಟೊಮೆಟೊ,തക്കാളി,ଟମାଟୋ |
urad,Urad,उड़द,உரட்,ఉరద్,উরদ,અડદ,उडीद,ਉੜਦ,اُڑد,ಉರಾದ್,ഊരാദ്,ଉରାଦ |
walnuts,Walnuts,अखरोट,அக்ரூட் பருப்புகள்,అక్రోట్లను,আখরোট,અખરોટ,अक्रोड,ਅਖਰੋਟ,اخروٹ,ವಾಲ್ನಟ್ಸ್,വാൽനട്ട്സ്,ବାଦାମ |
wheat,Wheat,गेहूँ,கோதுமை,గోధుమలు,গম,ઘઉં,गहू,ਕਣਕ,گندم,ಗೋಧಿ,ഗോതമ്പ്,ଗହମ
krishiMitra,Krishi Mitra,कृषि मित्र,கிருஷி மித்ரா,కృషి మిత్ర,কৃষি মিত্র,કૃષિ મિત્ર,कृषी मित्र,ਕ੍ਰਿਸ਼ੀ ਮਿੱਤਰ,کرشی مترا,ಕೃಷಿ ಮಿತ್ರ,കൃഷി മിത്ര,କୃଷ୍ଣ ମିତ୍ର
welcomeToKrishiMitra,Welcome to Krishi mitra,कृषि मित्र में आपका स्वागत है,கிருஷி மித்ராவை வரவேற்கிறோம்,కృషి మిత్రకు స్వాగతం,কৃষি মিত্রে স্বাগতম,કૃષિ મિત્રમાં આપનું સ્વાગત છે,कृषी मित्रामध्ये आपले स्वागत आहे,ਕ੍ਰਿਸ਼ੀ ਮਿੱਤਰਾ ਵਿੱਚ ਤੁਹਾਡਾ ਸੁਆਗਤ ਹੈ,کرشی مترا میں خوش آمدید,ಕೃಷಿ ಮಿತ್ರ ಅವರಿಗೆ ಸ್ವಾಗತ,കൃഷി മിത്രയിലേക്ക് സ്വാഗതം,କୃଷ୍ଣ ମିତ୍ରଙ୍କୁ ସ୍ୱାଗତ |
proceed,Proceed,आगे बढ़ना,தொடரவும்,కొనసాగండి,এগিয়ে যান,આગળ વધો,पुढे जा,ਅੱਗੇ ਵਧੋ,آگے بڑھیں۔,ಮುಂದುವರೆಯಿರಿ,തുടരുക,ଅଗ୍ରଗତି କର |
cropPrice,Crop Price,फसल मूल्य,பயிர் விலை,పంట ధర,ফসলের দাম,પાકની કિંમત,पिकाची किंमत,ਫਸਲ ਦੀ ਕੀਮਤ,فصل کی قیمت,ಬೆಳೆ ಬೆಲೆ,വിളവില,ଫସଲ ମୂଲ୍ୟ
cropDemand,Crop Demand,फसल की मांग,பயிர் தேவை,పంట డిమాండ్,ফসলের চাহিদা,પાકની માંગ,पीक मागणी,ਫਸਲ ਦੀ ਮੰਗ,فصل کی مانگ,ಬೆಳೆ ಬೇಡಿಕೆ,വിള ആവശ്യം,ଫସଲ ଚାହିଦା |
pestDiseaseDetection,Pest & Disease Detection,कीट एवं रोग का पता लगाना,பூச்சி மற்றும் நோய் கண்டறிதல்,తెగులు & వ్యాధి గుర్తింపు,কীটপতঙ্গ ও রোগ নির্ণয়,જંતુ અને રોગની તપાસ,कीटक आणि रोग शोधणे,ਕੀੜੇ ਅਤੇ ਰੋਗ ਦੀ ਖੋਜ,کیڑوں اور بیماریوں کا پتہ لگانا,ಕೀಟ ಮತ್ತು ರೋಗ ಪತ್ತೆ,കീടങ്ങളും രോഗങ്ങളും കണ്ടെത്തൽ,କୀଟ ଏବଂ ରୋଗ ଚିହ୍ନଟ |
settings,Settings,सेटिंग्स,அமைப்புகள்,సెట్టింగ్‌లు,সেটিংস,સેટિંગ્સ,सेटिंग्ज,ਸੈਟਿੰਗਾਂ,ترتیبات,ಸೆಟ್ಟಿಂಗ್‌ಗಳು,ക്രമീകരണങ്ങൾ,ସେଟିଂସମୂହ
selectState,Select State,राज्य चुनें,மாநிலத்தைத் தேர்ந்தெடுக்கவும்,రాష్ట్రం ఎంచుకోండి,রাজ্য নির্বাচন করুন,રાજ્ય પસંદ કરો,राज्य निवडा,ਰਾਜ ਚੁਣੋ,ریاست منتخب کریں۔,ರಾಜ್ಯವನ್ನು ಆಯ್ಕೆಮಾಡಿ,സംസ്ഥാനം തിരഞ്ഞെടുക്കുക,ରାଜ୍ୟ ଚୟନ କରନ୍ତୁ |
cropsIn,Crops in,फसलें,பயிர்கள்,లో పంటలు,মধ্যে ফসল,માં પાક,मध्ये पिके,ਵਿੱਚ ਫਸਲ,میں فصلیں,ಬೆಳೆಗಳು,വിളവെടുപ്പ്,ଫସଲ
thisMonth,This Month,इस महीने,இந்த மாதம்,ఈ నెల,এই মাসে,આ મહિને,या महिन्यात,ਇਸ ਮਹੀਨੇ,اس مہینے,ಈ ತಿಂಗಳು,ഈ മാസം,ଏହି ମାସ
nextMonth,Next Month,अगले महीने,அடுத்த மாதம்,వచ్చే నెల,পরের মাস,આગામી મહિને,पुढचा महिना,ਅਗਲੇ ਮਹੀਨੇ,اگلا مہینہ,ಮುಂದಿನ ತಿಂಗಳು,അടുത്ത മാസം,ପରବର୍ତ୍ତୀ ମାସ
priceTrend,Price Trend,मूल्य प्रवृत्ति,விலை போக்கு,ధర ట్రెండ్,মূল্য প্রবণতা,ભાવ વલણ,किंमत ट्रेंड,ਕੀਮਤ ਦਾ ਰੁਝਾਨ,قیمت کا رجحان,ಬೆಲೆ ಪ್ರವೃತ್ತಿ,വില പ്രവണത,ମୂଲ୍ୟ ଟ୍ରେଣ୍ଡ |
demandTrend,Demand Trend,मांग का रुझान,தேவைப் போக்கு,డిమాండ్ ట్రెండ్,চাহিদা প্রবণতা,માંગ વલણ,मागणी कल,ਮੰਗ ਦਾ ਰੁਝਾਨ,مانگ کا رجحان,ಬೇಡಿಕೆಯ ಪ್ರವೃತ್ತಿ,ഡിമാൻഡ് ട്രെൻഡ്,ଡିମାଣ୍ଡ ଟ୍ରେଣ୍ଡ |
predictionPeriod,Prediction Period,भविष्यवाणी अवधि,கணிப்பு காலம்,అంచనా కాలం,ভবিষ্যদ্বাণীর সময়কাল,આગાહીનો સમયગાળો,अंदाज कालावधी,ਪੂਰਵ ਅਨੁਮਾਨ ਦੀ ਮਿਆਦ,پیشین گوئی کی مدت,ಮುನ್ಸೂಚನೆಯ ಅವಧಿ,പ്രവചന കാലയളവ്,ଭବିଷ୍ୟବାଣୀ ଅବଧି
next3Months,Next 3 Months,अगले 3 महीने,அடுத்த 3 மாதங்கள்,తదుపరి 3 నెలలు,পরের ৩ মাস,આગામી 3 મહિના,पुढील ३ महिने,ਅਗਲੇ 3 ਮਹੀਨੇ,اگلے 3 ماہ,ಮುಂದಿನ 3 ತಿಂಗಳು,അടുത്ത 3 മാസം,ପରବର୍ତ୍ତୀ 3 ମାସ |
next6Months,Next 6 Months,अगले 6 महीने,அடுத்த 6 மாதங்கள்,తదుపరి 6 నెలలు,পরের ৬ মাস,આગામી 6 મહિના,पुढील ६ महिने,ਅਗਲੇ 6 ਮਹੀਨੇ,اگلے 6 ماہ,ಮುಂದಿನ 6 ತಿಂಗಳು,അടുത്ത 6 മാസം,ପରବର୍ତ୍ତୀ 6 ମାସ |
next1Year,Next 1 Year,अगला 1 वर्ष,அடுத்த 1 வருடம்,తదుపరి 1 సంవత్సరం,আগামী ১ বছর,આગામી 1 વર્ષ,पुढील 1 वर्ष,ਅਗਲਾ 1 ਸਾਲ,اگلا 1 سال,ಮುಂದಿನ 1 ವರ್ಷ,അടുത്ത 1 വർഷം,ପରବର୍ତ୍ତୀ 1 ବର୍ଷ
past6MonthsPrices,Past 6 Months Prices,पिछले 6 महीनों की कीमतें,கடந்த 6 மாத விலைகள்,గత 6 నెలల ధరలు,গত 6 মাসের দাম,છેલ્લા 6 મહિનાની કિંમતો,मागील 6 महिन्यांच्या किमती,ਪਿਛਲੇ 6 ਮਹੀਨਿਆਂ ਦੀਆਂ ਕੀਮਤਾਂ,گزشتہ 6 ماہ کی قیمتیں۔,ಕಳೆದ 6 ತಿಂಗಳ ಬೆಲೆಗಳು,കഴിഞ്ഞ 6 മാസത്തെ വിലകൾ,ଗତ 6 ମାସର ମୂଲ୍ୟ |
futurePricePredictions,Future Price Predictions,भावी मूल्य पूर्वानुमान,எதிர்கால விலை கணிப்புகள்,భవిష్యత్ ధర అంచనాలు,ভবিষ্যতের মূল্য পূর্বাভাস,ભાવિ ભાવ અનુમાનો,भविष्यातील किंमत अंदाज,ਭਵਿੱਖ ਦੀਆਂ ਕੀਮਤਾਂ ਦੀਆਂ ਭਵਿੱਖਬਾਣੀਆਂ,مستقبل کی قیمت کی پیشن گوئیاں,ಭವಿಷ್ಯದ ಬೆಲೆ ಮುನ್ಸೂಚನೆಗಳು,ഭാവി വില പ്രവചനങ്ങൾ,ଭବିଷ୍ୟତ ମୂଲ୍ୟ ପୂର୍ବାନୁମାନ |
past6MonthsDemand,Past 6 Months Demand,पिछले 6 महीने की मांग,கடந்த 6 மாத கோரிக்கை,గత 6 నెలల డిమాండ్,গত 6 মাসের চাহিদা,છેલ્લા 6 મહિનાની માંગ,मागील 6 महिन्यांची मागणी,ਪਿਛਲੇ 6 ਮਹੀਨਿਆਂ ਦੀ ਮੰਗ,گزشتہ 6 ماہ کا مطالبہ,ಕಳೆದ 6 ತಿಂಗಳ ಬೇಡಿಕೆ,കഴിഞ്ഞ 6 മാസത്തെ ആവശ്യം,ବିଗତ Mon ମାସର ଚାହିଦା |
futureDemandPredictions,Future Demand Predictions,भविष्य की मांग का पूर्वानुमान,எதிர்கால தேவை கணிப்புகள்,భవిష్యత్ డిమాండ్ అంచనాలు,ভবিষ্যতের চাহিদা পূর্বাভাস,ભાવિ માંગ અનુમાનો,भविष्यातील मागणी अंदाज,ਭਵਿੱਖ ਦੀ ਮੰਗ ਦੀ ਭਵਿੱਖਬਾਣੀ,مستقبل کی مانگ کی پیشن گوئیاں,ಭವಿಷ್ಯದ ಬೇಡಿಕೆಯ ಮುನ್ಸೂಚನೆಗಳು,ഭാവി ഡിമാൻഡ് പ്രവചനങ്ങൾ,ଭବିଷ୍ୟତର ଚାହିଦା ପୂର୍ବାନୁମାନ |
january,January,जनवरी,ஜனவரி,జనవరి,জানুয়ারি,જાન્યુઆરી,जानेवारी,ਜਨਵਰੀ,جنوری,ಜನವರಿ,ജനുവരി,ଜାନୁଆରୀ
february,February,फ़रवरी,பிப்ரவரி,ఫిబ్రవరి,ফেব্রুয়ারি,ફેબ્રુઆરી,फेब्रुवारी,ਫਰਵਰੀ,فروری,ಫೆಬ್ರವರಿ,ഫെബ്രുവരി,ଫେବୃଆରୀ
march,March,मार्च,மார்ச்,మార్చి,মার্চ,માર્ચ,मार्च,ਮਾਰਚ,مارچ,ಮಾರ್ಚ್,മാർച്ച്,ମାର୍ଚ୍ଚ
april,April,अप्रैल,ஏப்ரல்,ఏప్రిల్,এপ্রিল,એપ્રિલ,एप्रिल,ਅਪ੍ਰੈਲ,اپریل,ಏಪ್ರಿಲ್,ഏപ്രിൽ,ଏପ୍ରିଲ୍
may,May,मई,மே,మే,মে,મે,मे,ਮਈ,مئی,ಮೇ,മെയ്,ମେ
june,June,जून,ஜூன்,జూన్,জুন,જૂન,जून,ਜੂਨ,جون,ಜೂನ್,ജൂൺ,ଜୁନ୍ |
july,July,जुलाई,ஜூலை,జూలై,জুলাই,જુલાઈ,जुलै,ਜੁਲਾਈ,جولائی,ಜುಲೈ,ജൂലൈ,ଜୁଲାଇ
august,August,अगस्त,ஆகஸ்ட்,ఆగస్టు,আগস্ট,ઓગસ્ટ,ऑगस्ट,ਅਗਸਤ,اگست,ಆಗಸ್ಟ್,ഓഗസ്റ്റ്,ଅଗଷ୍ଟ
september,September,सितम्बर,செப்டம்பர்,సెప్టెంబర్,সেপ্টেম্বর,સપ્ટેમ્બર,सप्टेंबर,ਸਤੰਬਰ,ستمبر,ಸೆಪ್ಟೆಂಬರ್,സെപ്റ്റംബർ,ସେପ୍ଟେମ୍ବର |
october,October,अक्टूबर,அக்டோபர்,అక్టోబర్,অক্টোবর,ઓક્ટોબર,ऑक्टोबर,ਅਕਤੂਬਰ,اکتوبر,ಅಕ್ಟೋಬರ್,ഒക്ടോബർ,ଅକ୍ଟୋବର
november,November,नवंबर,நவம்பர்,నవంబర్,নভেম্বর,નવેમ્બર,नोव्हेंबर,ਨਵੰਬਰ,نومبر,ನವೆಂಬರ್,നവംബർ,ନଭେମ୍ବର
language,Language,भाषा,மொழி,భాష,ভাষা,ભાષા,भाषा,ਭਾਸ਼ਾ,زبان,ಭಾಷೆ,ഭാഷ,ଭାଷା
noCropData,No crop data available for this state.,इस राज्य के लिए कोई फसल डेटा उपलब्ध नहीं है।,இந்த மாநிலத்திற்கான பயிர் தரவு எதுவும் கிடைக்கவில்லை.,ఈ రాష్ట్రం కోసం క్రాప్ డేటా అందుబాటులో లేదు.,এই রাজ্যের জন্য কোনো ক্রপ ডেটা উপলব্ধ নেই৷,આ રાજ્ય માટે કોઈ પાક ડેટા ઉપલબ્ધ નથી.,या राज्यासाठी कोणताही पीक डेटा उपलब्ध नाही.,ਇਸ ਰਾਜ ਲਈ ਕੋਈ ਫਸਲ ਡੇਟਾ ਉਪਲਬਧ ਨਹੀਂ ਹੈ।,اس ریاست کے لیے فصل کا کوئی ڈیٹا دستیاب نہیں ہے۔,ಈ ರಾಜ್ಯಕ್ಕೆ ಯಾವುದೇ ಕ್ರಾಪ್ ಡೇಟಾ ಲಭ್ಯವಿಲ್ಲ.,ഈ സംസ്ഥാനത്തിന് ക്രോപ്പ് ഡാറ്റ ലഭ്യമല്ല.,ଏହି ରାଜ୍ୟ ପାଇଁ କ crop ଣସି ଫସଲ ତଥ୍ୟ ଉପଲବ୍ଧ ନାହିଁ |
noPriceData,No price data available to display.,प्रदर्शित करने के लिए कोई मूल्य डेटा उपलब्ध नहीं है.,காண்பிக்க விலை தரவு எதுவும் இல்லை.,ప్రదర్శించడానికి ధర డేటా అందుబాటులో లేదు.,প্রদর্শনের জন্য কোনো মূল্য ডেটা উপলব্ধ নেই৷,પ્રદર્શિત કરવા માટે કોઈ કિંમત ડેટા ઉપલબ્ધ નથી.,प्रदर्शित करण्यासाठी किंमत डेटा उपलब्ध नाही.,ਪ੍ਰਦਰਸ਼ਿਤ ਕਰਨ ਲਈ ਕੋਈ ਕੀਮਤ ਡੇਟਾ ਉਪਲਬਧ ਨਹੀਂ ਹੈ।,ڈسپلے کے لیے قیمت کا کوئی ڈیٹا دستیاب نہیں ہے۔,ಪ್ರದರ್ಶಿಸಲು ಯಾವುದೇ ಬೆಲೆ ಡೇಟಾ ಲಭ್ಯವಿಲ್ಲ.,പ്രദർശിപ്പിക്കാൻ വില വിവരങ്ങളൊന്നും ലഭ്യമല്ല.,ପ୍ରଦର୍ଶନ କରିବାକୁ କ price ଣସି ମୂଲ୍ୟ ତଥ୍ୟ ଉପଲବ୍ଧ ନାହିଁ |
noDemandData,No demand data available to display.,प्रदर्शित करने के लिए कोई मांग डेटा उपलब्ध नहीं है।,காண்பிக்க டிமாண்ட் டேட்டா எதுவும் இல்லை.,ప్రదర్శించడానికి డిమాండ్ డేటా అందుబాటులో లేదు.,ডিসপ্লে করার জন্য কোনো ডিমান্ড ডেটা পাওয়া যায় না।,પ્રદર્શિત કરવા માટે કોઈ માંગ ડેટા ઉપલબ્ધ નથી.,प्रदर्शित करण्यासाठी कोणताही मागणी डेटा उपलब्ध नाही.,ਡਿਸਪਲੇ ਕਰਨ ਲਈ ਕੋਈ ਮੰਗ ਡੇਟਾ ਉਪਲਬਧ ਨਹੀਂ ਹੈ।,ڈسپلے کے لیے کوئی ڈیمانڈ ڈیٹا دستیاب نہیں ہے۔,ಪ್ರದರ್ಶಿಸಲು ಯಾವುದೇ ಬೇಡಿಕೆ ಡೇಟಾ ಲಭ್ಯವಿಲ್ಲ.,പ്രദർശിപ്പിക്കാൻ ഡിമാൻഡ് ഡാറ്റ ലഭ്യമല്ല.,ପ୍ରଦର୍ଶନ କରିବାକୁ କ demand ଣସି ଚାହିଦା ତଥ୍ୟ ଉପଲବ୍ଧ ନାହିଁ |
disease,Disease,बीमारी,நோய்,వ్యాధి,রোগ,રોગ,रोग,ਰੋਗ,بیماری,ರೋಗ,രോഗം,ରୋଗ
treatment,Treatment,इलाज,சிகிச்சை,చికిత్స,চিকিৎসা,સારવાર,उपचार,ਇਲਾਜ,علاج,ಚಿಕಿತ್ಸೆ,ചികിത്സ,ଚିକିତ୍ସା
uploadPhoto,Upload Photo,फोटो अपलोड करें,புகைப்படத்தைப் பதிவேற்றவும்,ఫోటోను అప్‌లోడ్ చేయండి,ছবি আপলোড করুন,ફોટો અપલોડ કરો,फोटो अपलोड करा,ਫੋਟੋ ਅੱਪਲੋਡ ਕਰੋ,تصویر اپ لوڈ کریں۔,ಫೋಟೋ ಅಪ್ಲೋಡ್ ಮಾಡಿ,ഫോട്ടോ അപ്‌ലോഡ് ചെയ്യുക,ଫଟୋ ଅପଲୋଡ୍ କରନ୍ତୁ |
noImageSelected,No image selected,कोई छवि चयनित नहीं,படம் எதுவும் தேர்ந்தெடுக்கப்படவில்லை,చిత్రం ఏదీ ఎంచుకోబడలేదు,কোনো ছবি নির্বাচন করা হয়নি,કોઈ છબી પસંદ કરી નથી,कोणतीही प्रतिमा निवडलेली नाही,ਕੋਈ ਚਿੱਤਰ ਨਹੀਂ ਚੁਣਿਆ ਗਿਆ,کوئی تصویر منتخب نہیں کی گئی۔,ಯಾವುದೇ ಚಿತ್ರವನ್ನು ಆಯ್ಕೆಮಾಡಲಾಗಿಲ್ಲ,ചിത്രമൊന്നും തിരഞ്ഞെടുത്തിട്ടില്ല,କ image ଣସି ପ୍ରତିଛବି ଚୟନ ହୋଇନାହିଁ |
andhraPradesh,Andhra Pradesh,आंध्र प्रदेश,ஆந்திரப் பிரதேசம்,ఆంధ్ర ప్రదేశ్,অন্ধ্রপ্রদেশ,આંધ્ર પ્રદેશ,आंध्र प्रदेश,ਆਂਧਰਾ ਪ੍ਰਦੇਸ਼,آندھرا پردیش,ಆಂಧ್ರಪ್ರದೇಶ,ആന്ധ്രാപ്രദേശ്,ଆନ୍ଧ୍ରପ୍ରଦେଶ
arunachalPradesh,Arunachal Pradesh,अरुणाचल प्रदेश,அருணாச்சல பிரதேசம்,అరుణాచల్ ప్రదేశ్,অরুণাচল প্রদেশ,અરુણાચલ પ્રદેશ,अरुणाचल प्रदेश,ਅਰੁਣਾਚਲ ਪ੍ਰਦੇਸ਼,اروناچل پردیش,ಅರುಣಾಚಲ ಪ್ರದೇಶ,അരുണാചൽ പ്രദേശ്,ଅରୁଣାଚଳ ପ୍ରଦେଶ
assam,Assam,असम,அசாம்,అస్సాం,আসাম,આસામ,आसाम,ਅਸਾਮ,آسام,ಅಸ್ಸಾಂ,അസം,ଆସାମ |
bihar,Bihar,बिहार,பீகார்,బీహార్,বিহার,બિહાર,बिहार,ਬਿਹਾਰ,بہار,ಬಿಹಾರ,ബീഹാർ,ବିହାର |
chhattisgarh,Chhattisgarh,छत्तीसगढ,சத்தீஸ்கர்,ఛత్తీస్‌గఢ్,ছত্তিশগড়,છત્તીસગઢ,छत्तीसगड,ਛੱਤੀਸਗੜ੍ਹ,چھتیس گڑھ,ಛತ್ತೀಸ್‌ಗಢ,ഛത്തീസ്ഗഡ്,ଛତିଶଗଡ
goa,Goa,गोवा,கோவா,గోవా,গোয়া,ગોવા,गोवा,ਗੋਆ,گوا,ಗೋವಾ,ഗോവ,ଗୋଆ
gujarat,Gujarat,गुजरात,குஜராத்,గుజరాత్,গুজরাট,ગુજરાત,गुजरात,ਗੁਜਰਾਤ,گجرات,ಗುಜರಾತ್,ഗുജറാത്ത്,ଗୁଜୁରାଟ
haryana,Haryana,हरयाणा,ஹரியானா,హర్యానా,হরিয়ানা,હરિયાણા,हरियाणा,ਹਰਿਆਣਾ,ہریانہ,ಹರಿಯಾಣ,ഹരിയാന,ହରିୟାଣା
himachalPradesh,Himachal Pradesh,हिमाचल प्रदेश,ஹிமாச்சல பிரதேசம்,హిమాచల్ ప్రదేశ్,হিমাচল প্রদেশ,હિમાચલ પ્રદેશ,हिमाचल प्रदेश,ਹਿਮਾਚਲ ਪ੍ਰਦੇਸ਼,ہماچل پردیش,ಹಿಮಾಚಲ ಪ್ರದೇಶ,ഹിമാചൽ പ്രദേശ്,ହିମାଚଳ ପ୍ରଦେଶ
jharkhand,Jharkhand,झारखंड,ஜார்கண்ட்,జార్ఖండ్,ঝাড়খণ্ড,ઝારખંડ,झारखंड,ਝਾਰਖੰਡ,جھارکھنڈ,ಜಾರ್ಖಂಡ್,ജാർഖണ്ഡ്,H ାଡଖଣ୍ଡ
karnataka,Karnataka,कर्नाटक,கர்நாடகா,కర్ణాటక,কর্ণাটক,કર્ણાટક,कर्नाटक,ਕਰਨਾਟਕ,کرناٹک,ಕರ್ನಾಟಕ,കർണാടക,କର୍ଣ୍ଣାଟକ
kerala,Kerala,केरल,கேரளா,కేరళ,কেরালা,કેરળ,केरळ,ਕੇਰਲ,کیرالہ,ಕೇರಳ,കേരളം,କେରଳ
madhaPradesh,Madhya Pradesh,मध्य प्रदेश,மத்திய பிரதேசம்,మధ్యప్రదేశ్,মধ্যপ্রদেশ,મધ્યપ્રદેશ,मध्य प्रदेश,ਮੱਧ ਪ੍ਰਦੇਸ਼,مدھیہ پردیش,ಮಧ್ಯಪ್ರದೇಶ,മധ്യപ്രദേശ്,ମଧ୍ୟପ୍ରଦେଶ
maharashtra,Maharashtra,महाराष्ट्र,மகாராஷ்டிரா,మహారాష్ట్ర,মহারাষ্ট্র,મહારાષ્ટ્ર,महाराष्ट्र,ਮਹਾਰਾਸ਼ਟਰ,مہاراشٹر,ಮಹಾರಾಷ್ಟ್ರ,മഹാരാഷ്ട്ര,ମହାରାଷ୍ଟ୍ର
